Date,TecDAX,1&1 Drillisch,Aixtron,Aumann,Adva,Bechtle,Cancom,Carl Zeiss Meditec,CompuGroup,Dialog Semiconductor,Drägerwerk,Evotec,Freenet,GFT Technologies,Infineon,Isra,Jenoptik,LPKF,Manz,Medigene,MorphoSys,Nemetschek,Nordex,Pfeiffer Vacuum,Qiagen,QSC,RIB Software,S&T,SAP,Sartorius,Siemens Healthineers,Siltronic,SLM,SMA,Software,Stratec,Süss,Telefonica,Telekom,United Internet,Wirecard,Xing
21.07.2015,1814.189941,35.232304,5.458,0,10.25,35.950565,16.57905,24.206718,34.641045,52.470001,92.466217,3.407,24.345678,20.333607,0,0,11.856367,8.383,74.999199,0,74.790001,34.940887,26.299999,77.985085,24.976097,1.785066,15.35921,0,0,47.26226,0,0,0,27.922722,25.360001,49.217964,0,4.120368,0,43.487293,39.379124,152.318573
22.07.2015,1802.660034,34.642925,5.306,0,10.212,36.196167,16.647324,23.952112,33.886715,49.73,91.905411,3.386,24.202991,20.42905,0,0,11.825991,8.419,74.082603,0,74.879997,34.60194,26.360001,77.812782,25.294956,1.790595,15.464116,0,0,46.382217,0,0,0,29.853834,25.334999,49.264847,0,4.118103,0,43.415916,39.324192,150.330338
23.07.2015,1816.22998,34.444965,5.183,0,10.28,36.599331,17.445436,23.865643,33.722309,51.75,91.157639,3.375,24.357248,20.32452,0,0,11.771119,8.701,74.447304,0,74.779999,34.446991,26.434999,78.184593,25.255135,1.770321,15.487959,0,0,46.840828,0,0,0,30.162617,27.504999,48.720997,0,4.121878,0,43.449226,39.09449,149.990875
24.07.2015,1804.469971,34.584438,5.128,0,10.185,36.312019,17.403057,24.451715,31.188545,50.599998,91.403618,3.343,24.2994,20.219988,0,0,11.856367,8.761,72.348099,0,74.669998,34.669731,26.200001,78.084831,25.160427,1.774007,15.449811,0,0,46.853226,0,0,0,29.760708,27.485001,49.161705,0,4.161889,0,43.263672,38.385406,148.972504
27.07.2015,1751.959961,33.675617,5.28,0,9.98,35.565941,16.969864,23.572605,27.610323,48.82,90.252464,3.356,23.547398,19.261026,0,0,11.711347,8.542,68.031403,0,70.400002,33.701298,25.129999,75.699944,24.512827,1.718713,14.806068,0,0,45.849228,0,0,0,29.285282,27.065001,47.380138,0,4.129426,0,41.945732,37.361729,140.631592
28.07.2015,1769.410034,33.743111,5.01,0,10.77,35.894962,17.026369,23.956919,28.045511,48.674999,89.89827,3.41,23.960033,20.55176,0,0,11.76328,8.378,66.533401,0,72.540001,34.495411,25.985001,76.679291,24.911329,1.672635,15.306757,0,0,46.605324,0,0,0,29.706795,27.030001,46.976948,0,4.169437,0,42.535709,36.822426,146.305374
29.07.2015,1769.47998,34.404472,4.985,0,10.4,35.830086,16.732079,24.048189,28.14222,46.424999,92.456383,3.447,24.260838,20.91535,0,0,11.720166,8.353,67.055801,0,73.309998,34.592255,26.27,73.432938,25.135574,1.672635,15.993417,0,0,47.03915,0,0,0,30.917418,27.219999,46.42841,0,4.234362,0,42.706989,35.953548,147.857162
30.07.2015,1761.52002,33.549644,5.069,0,10.31,35.82082,16.708536,24.134661,27.184803,46.384998,91.147804,3.42,23.948465,20.265436,0,0,11.647655,8,66.385597,0,72.260002,34.810154,25.290001,74.267189,25.344852,1.670792,16.022026,0,0,47.522556,0,0,0,30.868402,27.344999,46.789417,0,4.232096,0,42.621349,35.808735,148.29361
31.07.2015,1770.439941,34.633926,5.401,0,10.47,35.885693,16.560215,24.61985,27.808575,45.32,89.681801,3.442,24.122005,20.329063,0,0,11.630998,8.06,66.858704,0,73.57,32.621506,25.844999,75.681808,25.434475,1.676321,15.850362,0,0,48.625713,0,0,0,29.623472,27.245001,47.539543,0,4.269088,0,42.854488,36.053417,148.487579
03.08.2015,1803.060059,37.792278,5.44,0,10.13,35.834717,16.541382,25.177099,28.350143,46.830002,92.003792,3.513,24.804594,20.760824,0,0,11.820112,8.2,68.563599,0,74.5,31.217285,26.495001,76.117073,25.608919,1.74636,15.72638,0,0,50.075935,0,0,0,30.799786,27.530001,47.380138,0,4.345335,0,43.568172,36.318081,146.887283
