Date,TecDAX,,,,,1&1,,,,,,Aixtron,,,,,,Aumann,,,,,,Adva,,,,,,Bechtle,,,,,,Cancom,,,,,,Carl Zeiss Meditec,,,,,,CompuGroup,,,,,,Dialog Semiconductor,,,,,,Drägerwerk,,,,,,Evotec,,,,,,Freenet,,,,,,GFT Technologies,,,,,,Infineon,,,,,,Isra,,,,,,Jenoptik,,,,,,LPKF,,,,,,Manz,,,,,,Medigene,,,,,,MorphoSys,,,,,,Nemetschek,,,,,,Nordex,,,,,,Pfeiffer Vacuum,,,,,,Qiagen,,,,,,QSC,,,,,,RIB Software,,,,,,,S&T,,,,,SAP,,,,,,Sartorius,,,,,,Siemens Healthineers,,,,,,Siltronic,,,,,,SLM,,,,,,SMA,,,,,,Software,,,,,,Stratec,,,,,,,Süss,,,,,Telefonica,,,,,,Telekom,,,,,,United Internet,,,,,,Wirecard,,,,,,Xing,,,,,
Date,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Aixtron,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Adva,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,GFT Technologies,Volumen,Datum,Eroeffnung,Hoch,Tief,Infineon,Volumen,Datum,Eroeffnung,Hoch,Tief,Isra,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,LPKF,Volumen,Datum,Eroeffnung,Hoch,Tief,Manz,Volumen,Datum,Eroeffnung,Hoch,Tief,Medigene,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,QSC,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,S&T,Volumen,Datum,Eroeffnung,Hoch,Tief,SAP,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Siemens Health,Volumen,Datum,Eroeffnung,Hoch,Tief,Siltronic,Volumen,Datum,Eroeffnung,Hoch,Tief,SLM,Volumen,Datum,Eroeffnung,Hoch,Tief,SMA,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Stratec,Volumen,Datum,Eroeffnung,Hoch,Tief,Süss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Telekom,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen,Datum,Eroeffnung,Hoch,Tief,Schluss,Volumen
  13.09.2016,"1,432.57","1,442.56","1,430.66","1,431.15","5,458,754",  13.09.2016,41.54,41.84,41.13,41.17,"112,577",  13.09.2016,5.49,5.53,5.47,5.5,"463,823",,0,0,0,0,0,  13.09.2016,8.24,8.34,8.17,8.19,"337,637",  13.09.2016,50.25,50.9,49.56,49.6,"37,214",  13.09.2016,21.75,21.86,21.31,21.31,"118,874",  13.09.2016,33.1,33.19,32.6,32.7,"41,331",  13.09.2016,39.21,39.43,38.81,39.02,"10,936",  13.09.2016,30.86,32.44,30.8,31.83,"657,032",  13.09.2016,66.71,67,64.76,65.29,"24,415",  13.09.2016,4.54,4.57,4.47,4.47,"400,328",  13.09.2016,26.15,26.26,25.76,25.79,"289,790",  13.09.2016,19,19.42,18.9,18.9,"86,260",  13.09.2016,0,0,0,0,"4,631,374",  13.09.2016,0,0,0,0,"42,900",  13.09.2016,16.21,16.63,16.21,16.32,"97,738",  13.09.2016,0,0,0,0,"89,615",  13.09.2016,0,0,0,0,"11,955",  13.09.2016,0,0,0,0,"6,561",  13.09.2016,38,38.21,37.18,37.21,"70,335",  13.09.2016,53.8,54.2,53.49,53.71,"27,915",  13.09.2016,26.03,26.69,26.03,26.08,"973,902",  13.09.2016,84.92,85.46,84.27,84.35,"24,784",  13.09.2016,23.96,24.05,23.69,23.9,"1,547",  13.09.2016,0,0,0,0,"606,275",  13.09.2016,11.05,11.59,10.61,10.65,"347,176",  13.09.2016,0,0,0,0,"118,720",  13.09.2016,0,0,0,0,"2,013,132",  13.09.2016,70.84,72.12,70.6,71,"62,808",  13.09.2016,0,0,0,0,0,  13.09.2016,22.77,22.79,20.8,21.41,"73,783",  13.09.2016,41.71,42.48,41.5,42.05,"171,326",  13.09.2016,30.6,30.99,29.7,30.26,"88,655",  13.09.2016,36.01,36.5,35.93,36.08,"95,659",13.09.2016,54.25,55.01,55.65,54.25,"4,537",  13.09.2016,6.24,6.42,6.14,6.16,"349,216",  13.09.2016,3.47,3.53,3.45,3.46,"2,039,701",  13.09.2016,0,0,0,0,"7,538,852",  13.09.2016,37.74,38.71,37.74,38.6,"693,698",  13.09.2016,45.38,45.99,45.03,45.2,"404,800",  13.09.2016,181.8,189.7,181.2,184.6,"7,525"
  14.09.2016,"1,434.08","1,440.15","1,431.47","1,435.82","5,208,548",  14.09.2016,41.31,41.31,40.66,41,"82,162",  14.09.2016,5.49,5.52,5.48,5.49,"389,820",,0,0,0,0,0,  14.09.2016,8.27,8.3,8.14,8.2,"198,563",  14.09.2016,49.5,50.5,49.12,49.85,"31,782",  14.09.2016,21.34,21.52,21.19,21.22,"119,804",  14.09.2016,32.6,33.82,32.6,33.7,"49,066",  14.09.2016,38.56,39.34,38.56,38.85,"12,872",  14.09.2016,32.01,33.06,32.01,32.88,"759,095",  14.09.2016,65.14,65.3,62.63,62.92,"36,214",  14.09.2016,4.47,4.53,4.46,4.47,"379,902",  14.09.2016,25.88,25.96,25.49,25.72,"471,400",  14.09.2016,19,19.34,18.84,19.13,"46,783",  14.09.2016,0,0,0,0,"3,119,973",  14.09.2016,0,0,0,0,"51,550",  14.09.2016,16.41,16.52,16.27,16.29,"61,435",  14.09.2016,0,0,0,0,"100,859",  14.09.2016,0,0,0,0,"11,596",  14.09.2016,0,0,0,0,"3,831",  14.09.2016,37,37.12,36.11,36.24,"150,137",  14.09.2016,54.19,54.99,53.86,54.18,"23,745",  14.09.2016,26.28,26.55,26.02,26.04,"582,241",  14.09.2016,84.34,84.92,84.01,84.76,"35,431",  14.09.2016,24.08,24.1,23.82,23.94,462,  14.09.2016,0,0,0,0,"533,187",  14.09.2016,10.65,11.2,10.65,10.95,"229,147",  14.09.2016,0,0,0,0,"85,827",  14.09.2016,0,0,0,0,"1,729,511",  14.09.2016,71.43,72.96,71.2,72.64,"67,238",  14.09.2016,0,0,0,0,0,  14.09.2016,21.14,22.28,21.11,21.9,"28,208",  14.09.2016,41.69,43.65,41.69,43,"154,146",  14.09.2016,30.6,30.6,29.62,29.63,"93,538",  14.09.2016,36.15,36.68,36.13,36.25,"97,786",14.09.2016,55.6,55,55.6,55,"1,341",  14.09.2016,6.22,6.25,6.08,6.18,"117,018",  14.09.2016,3.47,3.47,3.37,3.41,"3,352,037",  14.09.2016,0,0,0,0,"8,781,360",  14.09.2016,38.69,38.82,38.39,38.63,"688,184",  14.09.2016,45.31,45.5,44.82,45.13,"324,491",  14.09.2016,185.6,186.95,184.5,185.75,"6,399"
  15.09.2016,"1,436.00","1,447.72","1,427.74","1,446.59","5,066,680",  15.09.2016,41.05,41.99,40.69,41.99,"142,367",  15.09.2016,5.48,5.51,5.47,5.5,"348,182",,0,0,0,0,0,  15.09.2016,8.24,8.32,8.18,8.3,"202,517",  15.09.2016,49.74,50.1,49.05,49.97,"27,108",  15.09.2016,21.12,21.26,21.05,21.18,"100,412",  15.09.2016,33.8,34.15,33.55,34.01,"47,952",  15.09.2016,38.63,39.64,38.26,39.45,"24,001",  15.09.2016,33.25,34.23,32.59,33.75,"824,177",  15.09.2016,62.9,63.15,61.8,62.79,"22,104",  15.09.2016,4.5,4.52,4.45,4.51,"228,189",  15.09.2016,25.74,25.74,25.32,25.56,"535,156",  15.09.2016,19.12,19.13,18.38,18.67,"73,562",  15.09.2016,0,0,0,0,"3,503,566",  15.09.2016,0,0,0,0,"26,105",  15.09.2016,16.25,16.43,16.18,16.22,"94,471",  15.09.2016,0,0,0,0,"43,417",  15.09.2016,0,0,0,0,"10,349",  15.09.2016,0,0,0,0,"9,131",  15.09.2016,36.35,36.35,35.65,36.14,"89,950",  15.09.2016,54,54.51,53.43,54.35,"19,086",  15.09.2016,26.06,26.15,25.66,25.9,"432,481",  15.09.2016,84.76,85.2,84.3,85.11,"42,906",  15.09.2016,24.01,24.2,23.74,24.2,"1,287",  15.09.2016,0,0,0,0,"689,507",  15.09.2016,10.88,11.19,10.86,11.12,"183,152",  15.09.2016,0,0,0,0,"99,368",  15.09.2016,0,0,0,0,"2,464,943",  15.09.2016,72.61,74.07,72,73.9,"48,304",  15.09.2016,0,0,0,0,0,  15.09.2016,21.98,22.63,21.41,22.49,"19,654",  15.09.2016,42.86,44.3,42.86,43.19,"76,590",  15.09.2016,29.45,30.42,29.4,30.06,"178,233",  15.09.2016,36.34,36.47,35.94,36.38,"96,782",15.09.2016,55,55,55.19,54.8,"4,105",  15.09.2016,6.18,6.21,6.07,6.1,"104,577",  15.09.2016,3.4,3.44,3.37,3.44,"2,569,001",  15.09.2016,0,0,0,0,"8,856,342",  15.09.2016,38.41,39.4,38.36,39.31,"573,192",  15.09.2016,45.18,45.53,44.79,45.46,"261,491",  15.09.2016,185,186.5,183.35,185.6,"4,652"
  16.09.2016,"1,447.21","1,455.57","1,444.99","1,452.41","6,503,879",  16.09.2016,42,42.37,41.76,42.3,"332,919",  16.09.2016,5.49,5.51,5.48,5.5,"393,586",,0,0,0,0,0,  16.09.2016,8.32,8.33,8.15,8.27,"294,771",  16.09.2016,50.07,50.32,49.45,49.68,"55,028",  16.09.2016,21.16,22.79,21.16,22.47,"447,126",  16.09.2016,33.98,34.19,33.58,33.97,"64,579",  16.09.2016,40.01,40.01,39.4,39.55,"52,038",  16.09.2016,33.78,34.42,33.45,33.58,"553,351",  16.09.2016,62.96,63.4,62.34,62.89,"22,714",  16.09.2016,4.52,4.61,4.52,4.59,"643,961",  16.09.2016,25.56,25.85,25.5,25.7,"646,838",  16.09.2016,18.41,18.62,18.28,18.3,"45,647",  16.09.2016,0,0,0,0,"5,075,928",  16.09.2016,0,0,0,0,"27,545",  16.09.2016,16.25,16.39,16.08,16.24,"104,471",  16.09.2016,0,0,0,0,"52,512",  16.09.2016,0,0,0,0,"9,651",  16.09.2016,0,0,0,0,"15,239",  16.09.2016,36.07,36.3,35.77,36.14,"113,075",  16.09.2016,54.08,54.41,53.19,53.19,"57,537",  16.09.2016,25.96,26.04,25.3,25.54,"792,665",  16.09.2016,84.68,85.42,84.11,85.11,"41,646",  16.09.2016,24.13,24.9,24.13,24.83,"12,351",  16.09.2016,0,0,0,0,"529,221",  16.09.2016,11.16,11.19,10.77,10.78,"174,100",  16.09.2016,0,0,0,0,"550,035",  16.09.2016,0,0,0,0,"5,086,611",  16.09.2016,73.88,74.78,73.31,74.71,"152,832",  16.09.2016,0,0,0,0,0,  16.09.2016,22.49,23.32,22.35,23.16,"43,687",  16.09.2016,43,43.77,41.63,42.51,"154,983",  16.09.2016,30,31.18,29.8,31.18,"167,345",  16.09.2016,36.26,36.61,36.19,36.4,"112,643",16.09.2016,55,54.3,55.6,54.3,"6,208",  16.09.2016,6.11,6.21,5.92,5.95,"322,240",  16.09.2016,3.43,3.49,3.42,3.49,"3,657,275",  16.09.2016,0,0,0,0,"21,747,601",  16.09.2016,39.2,39.78,39.19,39.78,"684,013",  16.09.2016,45.44,45.61,44.75,44.87,"544,424",  16.09.2016,184.5,187.55,183.35,185,"4,715"
  19.09.2016,"1,458.54","1,462.16","1,452.95","1,457.28","4,352,568",  19.09.2016,42.43,42.45,42.26,42.4,"88,663",  19.09.2016,5.49,5.58,5.49,5.56,"361,559",,0,0,0,0,0,  19.09.2016,8.29,8.36,8.22,8.3,"160,211",  19.09.2016,50.12,51.07,50,51.07,"46,836",  19.09.2016,22.47,22.55,22.19,22.45,"133,184",  19.09.2016,34.05,34.46,33.86,34.3,"39,802",  19.09.2016,40.02,40.22,39.73,40.01,"18,379",  19.09.2016,33.75,34.2,33.72,34.1,"222,344",  19.09.2016,62.95,63.27,62.42,63.19,"17,237",  19.09.2016,4.6,4.67,4.58,4.65,"523,277",  19.09.2016,25.9,26.03,25.79,25.85,"344,592",  19.09.2016,18.4,18.76,18.3,18.59,"45,286",  19.09.2016,0,0,0,0,"2,464,463",  19.09.2016,0,0,0,0,"25,050",  19.09.2016,16.39,16.57,16.35,16.57,"43,313",  19.09.2016,0,0,0,0,"86,166",  19.09.2016,0,0,0,0,"33,468",  19.09.2016,0,0,0,0,"8,522",  19.09.2016,36.1,36.23,35.74,36.2,"100,153",  19.09.2016,53.77,53.87,53.25,53.6,"21,992",  19.09.2016,25.75,25.95,25.41,25.76,"432,242",  19.09.2016,85.76,86.56,84.86,85.3,"13,051",  19.09.2016,24.75,24.9,24.3,24.3,"5,778",  19.09.2016,0,0,0,0,"506,247",  19.09.2016,10.84,11.09,10.76,10.84,"55,426",  19.09.2016,9.5,9.52,9.29,9.33,"365,798",  19.09.2016,0,0,0,0,"1,700,545",  19.09.2016,75.5,75.81,74.42,75.43,"67,222",  19.09.2016,0,0,0,0,0,  19.09.2016,23.03,23.25,22.52,23,"21,694",  19.09.2016,42.86,42.86,41.1,42.1,"116,305",  19.09.2016,30.5,30.5,28.94,28.96,"345,697",  19.09.2016,36.66,36.66,35.86,36.34,"94,388",19.09.2016,54.98,53.9,54.98,53.61,"2,840",  19.09.2016,0,0,0,0,"115,943",  19.09.2016,3.49,3.5,3.45,3.47,"1,869,643",  19.09.2016,0,0,0,0,"6,628,913",  19.09.2016,39.84,40,39.11,39.2,"511,491",  19.09.2016,45.05,45.45,44.62,44.92,"308,820",  19.09.2016,189,195,188.7,194.95,"18,091"
  20.09.2016,"1,454.54","1,461.37","1,453.48","1,456.91","4,391,802",  20.09.2016,42.18,43.05,42.18,42.8,"124,105",  20.09.2016,5.53,5.62,5.53,5.56,"229,694",,0,0,0,0,0,  20.09.2016,8.22,8.31,8.1,8.15,"236,381",  20.09.2016,50.57,50.92,50.55,50.62,"30,172",  20.09.2016,22.49,22.56,22.3,22.46,"114,190",  20.09.2016,34.21,34.47,34.1,34.3,"22,143",  20.09.2016,40.26,40.27,39.75,40.02,"19,759",  20.09.2016,34.3,34.78,33.79,34.75,"351,133",  20.09.2016,62.9,63.3,62.79,63.09,"15,337",  20.09.2016,4.65,4.71,4.62,4.67,"369,629",  20.09.2016,25.78,25.91,25.69,25.83,"241,018",  20.09.2016,18.6,18.7,18.38,18.45,"27,549",  20.09.2016,0,0,0,0,"3,025,978",  20.09.2016,0,0,0,0,"16,960",  20.09.2016,16.6,16.83,16.55,16.65,"79,870",  20.09.2016,0,0,0,0,"45,135",  20.09.2016,0,0,0,0,"28,585",  20.09.2016,0,0,0,0,"16,001",  20.09.2016,36.21,36.29,35.9,36,"93,231",  20.09.2016,53.23,53.72,52.29,52.96,"46,824",  20.09.2016,25.8,25.92,25.56,25.56,"329,351",  20.09.2016,84.62,85.81,84.62,84.91,"12,929",  20.09.2016,24.39,24.7,24.35,24.35,"2,204",  20.09.2016,0,0,0,0,"1,197,684",  20.09.2016,10.86,10.94,10.75,10.85,"64,294",  20.09.2016,9.4,9.48,9.4,9.44,"100,671",  20.09.2016,0,0,0,0,"1,894,998",  20.09.2016,75.6,75.65,74.79,74.87,"55,457",  20.09.2016,0,0,0,0,0,  20.09.2016,22.85,22.85,21.82,22.2,"31,704",  20.09.2016,41.8,42.57,41.61,42.08,"74,636",  20.09.2016,29,29.24,28.18,28.56,"250,934",  20.09.2016,36.24,36.88,36.24,36.61,"63,661",20.09.2016,53.77,52.66,53.8,52.66,"3,926",  20.09.2016,0,0,0,0,"122,652",  20.09.2016,3.46,3.51,3.46,3.48,"1,498,907",  20.09.2016,0,0,0,0,"6,458,492",  20.09.2016,39.09,39.42,39.09,39.11,"332,318",  20.09.2016,44.99,45.42,44.84,45.14,"220,264",  20.09.2016,193.95,193.95,189.3,189.95,"6,977"
  21.09.2016,"1,463.93","1,467.38","1,459.16","1,460.71","5,648,443",  21.09.2016,42.99,43.74,42.99,43.74,"182,602",  21.09.2016,5.59,5.6,5.54,5.54,"142,350",,0,0,0,0,0,  21.09.2016,8.17,8.34,8.17,8.27,"278,812",  21.09.2016,51,51.35,50.82,51.12,"32,350",  21.09.2016,22.55,22.87,22.55,22.56,"104,858",  21.09.2016,34.47,34.49,34.24,34.44,"39,235",  21.09.2016,40.05,40.13,39.89,40.02,"38,095",  21.09.2016,34.72,34.9,34.15,34.27,"317,092",  21.09.2016,63.7,63.7,62.98,63.22,"22,301",  21.09.2016,4.76,4.8,4.67,4.79,"1,131,296",  21.09.2016,26.05,26.28,26.02,26.07,"290,517",  21.09.2016,18.5,18.89,18.49,18.6,"46,473",  21.09.2016,0,0,0,0,"3,424,020",  21.09.2016,0,0,0,0,"25,980",  21.09.2016,16.1,16.12,15.62,15.85,"347,264",  21.09.2016,0,0,0,0,"38,513",  21.09.2016,0,0,0,0,"27,013",  21.09.2016,0,0,0,0,"5,036",  21.09.2016,36.44,36.5,35.68,35.9,"60,338",  21.09.2016,53,53.37,52.98,53.04,"31,139",  21.09.2016,25.76,25.8,25.2,25.31,"574,056",  21.09.2016,85.13,86.14,84.9,85.11,"22,880",  21.09.2016,24.57,24.67,24.37,24.58,"1,619",  21.09.2016,0,0,0,0,"1,240,671",  21.09.2016,10.88,10.97,10.75,10.75,"61,438",  21.09.2016,9.46,9.46,9.35,9.38,"87,362",  21.09.2016,0,0,0,0,"1,824,712",  21.09.2016,75.58,75.74,74.19,74.53,"76,204",  21.09.2016,0,0,0,0,0,  21.09.2016,22.36,22.57,22.22,22.46,"14,092",  21.09.2016,42,42.14,41.77,42.05,"88,180",  21.09.2016,28.81,29.14,28.08,28.14,"143,788",  21.09.2016,36.96,36.98,36.36,36.37,"94,512",21.09.2016,53.4,52.83,54,52.5,"7,005",  21.09.2016,0,0,0,0,"428,568",  21.09.2016,3.55,3.71,3.54,3.7,"4,407,738",  21.09.2016,0,0,0,0,"9,250,343",  21.09.2016,39.36,39.75,39.27,39.3,"349,105",  21.09.2016,45.37,45.43,44.84,45.07,"263,024",  21.09.2016,190,191.15,187.5,188.15,"5,544"
  22.09.2016,"1,466.59","1,487.96","1,466.59","1,487.09","5,401,544",  22.09.2016,43.74,44.65,43.74,44.23,"268,139",  22.09.2016,5.58,5.58,5.49,5.53,"234,569",,0,0,0,0,0,  22.09.2016,8.32,8.68,8.32,8.64,"398,044",  22.09.2016,51.42,51.8,51.25,51.55,"32,242",  22.09.2016,22.79,22.93,22.72,22.89,"104,278",  22.09.2016,34.57,34.77,34.52,34.66,"42,785",  22.09.2016,39.91,40.35,39.91,40.29,"21,579",  22.09.2016,34.49,35.17,34.33,34.85,"289,940",  22.09.2016,63.9,64.51,63.67,64.47,"26,973",  22.09.2016,4.79,4.89,4.76,4.86,"781,950",  22.09.2016,26.23,26.49,26.23,26.41,"281,849",  22.09.2016,18.73,19.18,18.73,18.95,"36,753",  22.09.2016,0,0,0,0,"5,568,269",  22.09.2016,0,0,0,0,"68,720",  22.09.2016,15.99,16.16,15.85,16.12,"119,515",  22.09.2016,0,0,0,0,"40,377",  22.09.2016,0,0,0,0,"17,308",  22.09.2016,0,0,0,0,"26,732",  22.09.2016,36.34,37.5,35.96,37.23,"160,968",  22.09.2016,53.6,54.7,53.29,54.46,"45,516",  22.09.2016,25.52,26.03,25.44,26,"482,672",  22.09.2016,86.44,86.84,85.02,86.52,"22,081",  22.09.2016,24.5,24.89,24.44,24.89,"1,663",  22.09.2016,0,0,0,0,"810,275",  22.09.2016,10.84,11.13,10.83,11.04,"129,595",  22.09.2016,9.46,9.47,9.37,9.44,"129,460",  22.09.2016,0,0,0,0,"3,401,729",  22.09.2016,75.17,76.46,74.95,75.79,"57,347",  22.09.2016,0,0,0,0,0,  22.09.2016,22.82,23.31,22.53,23.07,"24,412",  22.09.2016,42.04,42.57,42.03,42.19,"58,187",  22.09.2016,28.26,28.66,27.82,28.54,"196,822",  22.09.2016,36.82,37.6,36.75,37.52,"169,988",22.09.2016,53.2,52.4,53.28,52.4,"3,930",  22.09.2016,0,0,0,0,"176,182",  22.09.2016,3.72,3.87,3.71,3.82,"4,498,271",  22.09.2016,0,0,0,0,"15,068,105",  22.09.2016,39.71,40.1,39.52,39.99,"333,341",  22.09.2016,45.33,46.2,45.3,46.19,"619,790",  22.09.2016,189,192.05,188.1,191.2,"5,605"
  23.09.2016,"1,485.76","1,485.76","1,478.78","1,480.35","4,133,599",  23.09.2016,44.2,44.2,42.55,42.99,"228,546",  23.09.2016,5.54,5.54,5.48,5.5,"224,979",,0,0,0,0,0,  23.09.2016,8.65,8.68,8.52,8.62,"201,133",  23.09.2016,51.3,51.3,50.65,51.02,"21,590",  23.09.2016,22.92,22.96,22.7,22.86,"122,466",  23.09.2016,34.77,34.77,33.8,34.07,"41,725",  23.09.2016,40.4,40.4,40,40.06,"23,537",  23.09.2016,34.82,35.06,34.5,34.77,"243,214",  23.09.2016,64.5,64.5,63.95,64.19,"10,333",  23.09.2016,4.86,4.93,4.79,4.91,"464,597",  23.09.2016,26.3,26.5,26.24,26.36,"205,992",  23.09.2016,18.95,18.96,18.57,18.76,"42,128",  23.09.2016,0,0,0,0,"3,777,143",  23.09.2016,0,0,0,0,"39,110",  23.09.2016,16.12,16.12,15.87,15.95,"98,041",  23.09.2016,0,0,0,0,"47,270",  23.09.2016,0,0,0,0,"8,120",  23.09.2016,0,0,0,0,"1,498",  23.09.2016,37.3,37.37,36.62,36.93,"93,263",  23.09.2016,54.4,54.4,53.69,53.95,"13,110",  23.09.2016,26.03,26.08,25.71,25.86,"382,396",  23.09.2016,85.82,86.3,85,85.43,"20,345",  23.09.2016,24.83,24.83,24.55,24.69,"2,260",  23.09.2016,0,0,0,0,"507,868",  23.09.2016,11.1,11.15,11.04,11.15,"68,421",  23.09.2016,9.38,9.45,9.34,9.43,"71,121",  23.09.2016,0,0,0,0,"2,107,637",  23.09.2016,75.93,76.05,74.76,75.25,"36,095",  23.09.2016,0,0,0,0,0,  23.09.2016,23.09,23.47,22.96,23.3,"20,587",  23.09.2016,42.2,42.76,42,42.5,"55,579",  23.09.2016,28.45,28.45,27.8,28,"185,180",  23.09.2016,37.5,37.53,37.2,37.35,"84,357",23.09.2016,52.11,52.36,52.75,52.11,"2,225",  23.09.2016,0,0,0,0,"88,764",  23.09.2016,3.8,3.84,3.77,3.78,"2,001,634",  23.09.2016,0,0,0,0,"8,793,279",  23.09.2016,39.9,39.9,39.58,39.6,"192,504",  23.09.2016,46.01,46.99,45.98,46.77,"720,533",  23.09.2016,192,192,187.95,189.2,"5,274"
  26.09.2016,"1,475.00","1,475.00","1,462.25","1,462.52","4,737,688",  26.09.2016,42.67,42.81,41.93,42.09,"149,249",  26.09.2016,5.53,5.53,5.47,5.48,"142,021",,0,0,0,0,0,  26.09.2016,8.64,8.64,8.45,8.5,"175,845",  26.09.2016,51.47,51.47,50.67,50.95,"26,324",  26.09.2016,22.8,22.93,22.7,22.74,"71,256",  26.09.2016,33.96,34.01,33.3,33.31,"56,149",  26.09.2016,40.21,40.21,39.81,40,"12,519",  26.09.2016,34.34,34.34,33.39,33.71,"542,064",  26.09.2016,64.1,64.13,63.05,63.14,"14,448",  26.09.2016,4.9,4.96,4.88,4.89,"612,221",  26.09.2016,26.25,26.29,25.83,26,"320,105",  26.09.2016,18.55,18.55,18.26,18.32,"55,841",  26.09.2016,0,0,0,0,"3,244,411",  26.09.2016,0,0,0,0,"33,030",  26.09.2016,15.95,16.12,15.89,15.99,"83,085",  26.09.2016,0,0,0,0,"35,915",  26.09.2016,0,0,0,0,"10,851",  26.09.2016,0,0,0,0,"24,258",  26.09.2016,37,37.04,36.16,36.47,"93,896",  26.09.2016,53.9,54.24,53.69,54.16,"16,447",  26.09.2016,25.75,25.85,25.35,25.8,"457,452",  26.09.2016,85.27,85.27,84,84.17,"35,560",  26.09.2016,24.66,24.66,24.16,24.45,"2,648",  26.09.2016,0,0,0,0,"795,413",  26.09.2016,11.18,11.18,11,11.14,"42,382",  26.09.2016,9.45,9.84,9.4,9.79,"349,483",  26.09.2016,0,0,0,0,"2,446,032",  26.09.2016,75.35,75.35,73.46,73.53,"50,622",  26.09.2016,0,0,0,0,0,  26.09.2016,23.35,24.55,22.96,24.55,"100,274",  26.09.2016,42.19,42.22,41.88,42.02,"84,401",  26.09.2016,28,28.17,27.35,27.77,"115,554",  26.09.2016,37.35,37.42,36.82,36.89,"91,590",26.09.2016,52.36,51.16,52.36,50.76,"2,929",  26.09.2016,0,0,0,0,"111,151",  26.09.2016,3.71,3.74,3.65,3.69,"2,779,652",  26.09.2016,0,0,0,0,"7,947,405",  26.09.2016,39.43,39.75,39.29,39.65,"389,649",  26.09.2016,46.65,47,45.94,46.12,"407,411",  26.09.2016,190,190,185.45,187.2,"6,562"
