Date,Open,High,Low,Close,Adj Close,Volume
2007-03-23,851.880005,853.210022,847.109985,850.640015,850.640015,0
2007-03-26,853.570007,855.090027,839.710022,844.739990,844.739990,0
2007-03-27,848.239990,852.219971,841.969971,843.309998,843.309998,155958100
2007-03-28,841.539978,841.780029,828.619995,831.309998,831.309998,0
2007-03-29,830.940002,844.309998,829.950012,843.020020,843.020020,0
2007-03-30,843.770020,848.450012,841.979980,846.789978,846.789978,174367300
2007-04-02,848.510010,851.080017,845.000000,849.200012,849.200012,0
2007-04-03,851.559998,863.900024,851.419983,862.619995,862.619995,0
2007-04-04,863.109985,867.020020,862.580017,866.539978,866.539978,0
2007-04-05,865.929993,869.520020,862.609985,868.690002,868.690002,0
2007-04-10,870.760010,880.530029,870.760010,880.140015,880.140015,0
2007-04-11,881.580017,882.820007,872.150024,875.309998,875.309998,0
2007-04-12,872.039978,873.010010,861.539978,868.570007,868.570007,0
2007-04-13,871.659973,876.929993,871.570007,876.929993,876.929993,0
2007-04-16,878.580017,896.900024,878.580017,894.590027,894.590027,0
2007-04-17,894.450012,898.669983,888.130005,898.590027,898.590027,0
2007-04-18,900.880005,900.880005,888.280029,892.070007,892.070007,0
2007-04-19,878.820007,881.190002,872.729980,880.210022,880.210022,0
2007-04-20,884.880005,894.940002,884.659973,893.940002,893.940002,0
2007-04-23,895.700012,896.650024,887.960022,892.210022,892.210022,0
2007-04-24,889.130005,891.960022,876.859985,879.989990,879.989990,0
2007-04-25,879.729980,890.059998,879.729980,888.020020,888.020020,0
2007-04-26,891.890015,896.340027,889.679993,892.760010,892.760010,0
2007-04-27,891.640015,892.690002,883.909973,890.109985,890.109985,0
2007-04-30,889.090027,889.130005,884.570007,887.400024,887.400024,0
2007-05-02,886.869995,888.789978,881.109985,884.590027,884.590027,0
2007-05-03,883.859985,886.590027,862.400024,868.789978,868.789978,0
2007-05-04,867.419983,875.659973,866.119995,873.919983,873.919983,0
2007-05-07,874.359985,876.900024,870.780029,873.390015,873.390015,0
2007-05-08,872.919983,874.599976,857.340027,859.940002,859.940002,0
2007-05-09,863.130005,867.780029,859.440002,864.630005,864.630005,0
2007-05-10,868.580017,870.010010,859.539978,860.229980,860.229980,0
2007-05-11,849.349976,857.460022,840.840027,857.440002,857.440002,0
2007-05-14,863.049988,865.739990,857.760010,858.320007,858.320007,0
2007-05-15,855.969971,859.789978,851.450012,858.479980,858.479980,0
2007-05-16,855.219971,862.770020,853.010010,858.409973,858.409973,0
2007-05-17,859.369995,863.500000,858.789978,862.679993,862.679993,0
2007-05-18,862.590027,868.270020,861.909973,868.000000,868.000000,0
2007-05-21,868.909973,873.750000,867.679993,872.900024,872.900024,0
2007-05-22,874.229980,880.320007,872.840027,878.840027,878.840027,0
2007-05-23,879.960022,897.020020,879.929993,894.849976,894.849976,220614700
2007-05-24,890.070007,895.590027,883.340027,887.799988,887.799988,191739500
2007-05-25,881.070007,887.659973,879.119995,885.869995,885.869995,153409600
2007-05-29,888.609985,901.190002,888.010010,901.190002,901.190002,233077600
2007-05-30,892.500000,908.469971,888.820007,903.210022,903.210022,378879900
2007-05-31,909.450012,927.250000,909.450012,924.150024,924.150024,353863700
2007-06-01,926.710022,928.919983,921.239990,925.979980,925.979980,269242500
2007-06-04,922.359985,927.169983,912.989990,916.320007,916.320007,179006800
2007-06-05,918.570007,926.900024,912.919983,919.960022,919.960022,287566400
2007-06-06,919.510010,919.510010,887.739990,893.250000,893.250000,240217200
2007-06-07,891.169983,898.960022,878.830017,882.020020,882.020020,194042200
2007-06-08,874.250000,889.169983,867.289978,886.580017,886.580017,225412800
2007-06-11,892.869995,905.830017,891.989990,900.700012,900.700012,166173100
2007-06-12,901.159973,907.390015,896.260010,899.530029,899.530029,152484700
2007-06-13,897.219971,902.510010,891.609985,902.289978,902.289978,159109100
2007-06-14,911.010010,918.489990,910.900024,918.440002,918.440002,239314100
2007-06-15,920.030029,937.909973,920.030029,937.570007,937.570007,1414175100
2007-06-18,938.760010,941.849976,928.150024,930.030029,930.030029,208358700
2007-06-19,928.820007,932.929993,927.419983,929.940002,929.940002,186938400
2007-06-20,932.570007,939.960022,932.570007,937.359985,937.359985,188154600
2007-06-21,929.520020,930.549988,916.159973,922.070007,922.070007,219493800
2007-06-22,925.799988,928.130005,920.450012,922.789978,922.789978,174255900
2007-06-25,914.390015,915.270020,906.820007,914.190002,914.190002,198936300
2007-06-26,911.070007,911.140015,905.440002,909.359985,909.359985,176065400
2007-06-27,904.690002,910.590027,900.960022,905.940002,905.940002,204032500
2007-06-28,913.739990,923.890015,913.739990,923.880005,923.880005,169309200
2007-06-29,927.849976,932.609985,924.320007,932.469971,932.469971,203613500
2007-07-02,929.400024,959.929993,928.549988,958.580017,958.580017,353396000
2007-07-03,961.570007,974.659973,961.570007,965.669983,965.669983,344121600
2007-07-04,968.099976,972.479980,962.859985,970.799988,970.799988,216853700
2007-07-05,972.359985,978.440002,962.219971,963.380005,963.380005,0
2007-07-06,963.330017,968.750000,959.320007,968.609985,968.609985,180044800
2007-07-09,972.440002,978.260010,972.440002,975.549988,975.549988,194529200
2007-07-10,971.549988,978.809998,962.320007,966.780029,966.780029,256131100
2007-07-11,960.250000,960.250000,949.270020,956.710022,956.710022,243748000
2007-07-12,962.859985,965.669983,955.849976,963.820007,963.820007,189823500
2007-07-13,971.789978,981.260010,965.559998,966.979980,966.979980,246215300
2007-07-16,968.669983,971.390015,958.099976,962.119995,962.119995,226253400
2007-07-17,962.900024,963.159973,953.169983,958.020020,958.020020,179551600
2007-07-18,947.289978,949.390015,945.130005,947.400024,947.400024,198286500
2007-07-19,946.210022,969.590027,946.210022,963.309998,963.309998,239261300
2007-07-20,966.080017,966.429993,939.830017,940.510010,940.510010,301638600
2007-07-23,937.989990,953.539978,935.609985,953.539978,953.539978,238559300
2007-07-24,954.109985,954.109985,937.450012,939.289978,939.289978,196918200
2007-07-25,931.969971,931.969971,916.719971,923.770020,923.770020,303403000
2007-07-26,926.080017,928.619995,897.280029,899.450012,899.450012,267441600
2007-07-27,891.530029,899.799988,864.940002,891.239990,891.239990,381819600
2007-07-30,890.150024,904.280029,889.619995,898.320007,898.320007,240775800
2007-07-31,906.789978,921.940002,906.789978,921.349976,921.349976,203876900
2007-08-01,905.260010,909.280029,891.830017,905.320007,905.320007,236482500
2007-08-02,910.909973,917.700012,902.080017,903.760010,903.760010,231093300
2007-08-03,907.109985,914.700012,900.669983,903.090027,903.090027,209676000
2007-08-06,894.830017,894.830017,876.940002,882.869995,882.869995,191352500
2007-08-07,889.859985,899.960022,888.969971,895.359985,895.359985,213856600
2007-08-08,899.419983,922.840027,899.039978,922.250000,922.250000,438280900
2007-08-09,921.309998,926.849976,903.750000,916.190002,916.190002,449649300
